command_id,sequence_number,message_id,originator_addr,recipient_addr,short_message,src_ip,src_port,dst_ip,dst_port,timestamp
0x80000015,2421,,,,,35.200.227.177,12028,172.17.0.57,50168,29/06/25 08:02:27
0x80000015,2421,,,,,35.200.227.177,12028,10.51.3.123,50152,29/06/25 08:02:27
0x80000015,2421,,,,,35.200.227.177,12028,172.17.0.57,50152,29/06/25 08:02:27
0x00000015,2393,,,,,172.17.0.2,40346,35.200.227.177,12042,29/06/25 08:02:32
0x00000015,2393,,,,,10.51.3.123,40346,35.200.227.177,12042,29/06/25 08:02:32
0x00000015,2393,,,,,172.17.0.2,40326,35.200.227.177,12042,29/06/25 08:02:32
0x00000015,2393,,,,,10.51.3.123,40326,35.200.227.177,12042,29/06/25 08:02:32
0x00000015,2393,,,,,172.17.0.2,40358,35.200.227.177,12042,29/06/25 08:02:32
0x00000015,2393,,,,,10.51.3.123,40358,35.200.227.177,12042,29/06/25 08:02:32
0x00000015,2393,,,,,172.17.0.2,40324,35.200.227.177,12042,29/06/25 08:02:32
0x00000015,2393,,,,,10.51.3.123,40324,35.200.227.177,12042,29/06/25 08:02:32
0x00000015,2393,,,,,172.17.0.2,40308,35.200.227.177,12042,29/06/25 08:02:32
0x00000015,2393,,,,,10.51.3.123,40308,35.200.227.177,12042,29/06/25 08:02:32
0x00000015,2393,,,,,172.17.0.2,40338,35.200.227.177,12042,29/06/25 08:02:32
0x00000015,2393,,,,,10.51.3.123,40338,35.200.227.177,12042,29/06/25 08:02:32
0x80000015,2393,,,,,35.200.227.177,12042,10.51.3.123,40338,29/06/25 08:02:32
0x80000015,2393,,,,,35.200.227.177,12042,172.17.0.2,40338,29/06/25 08:02:32
0x80000015,2393,,,,,35.200.227.177,12042,10.51.3.123,40326,29/06/25 08:02:32
0x80000015,2393,,,,,35.200.227.177,12042,172.17.0.2,40326,29/06/25 08:02:32
0x80000015,2393,,,,,35.200.227.177,12042,10.51.3.123,40324,29/06/25 08:02:32
